Nome da variável,Descrição da variável,Variable description,unit,target,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V001,Cônjuges ou companheiros(as) de sexo diferente com 10 anos de idade,Spouses or partners of different sex with 10 years of age,family_unit,,Age and Gender,0,0
V002,Cônjuges ou companheiros(as) de sexo diferente com 11 anos de idade,Spouses or partners of different sex with 11 years of age,family_unit,,Age and Gender,0,0
V003,Cônjuges ou companheiros(as) de sexo diferente com 12 anos de idade,Spouses or partners of different sex with 12 years of age,family_unit,,Age and Gender,0,0
V004,Cônjuges ou companheiros(as) de sexo diferente com 13 anos de idade,Spouses or partners of different sex with 13 years of age,family_unit,,Age and Gender,0,0
V005,Cônjuges ou companheiros(as) de sexo diferente com 14 anos de idade,Spouses or partners of different sex with 14 years of age,family_unit,,Age and Gender,0,0
V006,Cônjuges ou companheiros(as) de sexo diferente com 15 anos de idade,Spouses or partners of different sex with 15 years of age,family_unit,,Age and Gender,0,2
V007,Cônjuges ou companheiros(as) de sexo diferente com 16 anos de idade,Spouses or partners of different sex with 16 years of age,family_unit,,Age and Gender,0,1
V008,Cônjuges ou companheiros(as) de sexo diferente com 17 anos de idade,Spouses or partners of different sex with 17 years of age,family_unit,,Age and Gender,0,3
V009,Cônjuges ou companheiros(as) de sexo diferente com 18 anos de idade,Spouses or partners of different sex with 18 years of age,family_unit,,Age and Gender,3,5
V010,Cônjuges ou companheiros(as) de sexo diferente com 19 anos de idade,Spouses or partners of different sex with 19 years of age,family_unit,,Age and Gender,3,4
V011,Cônjuges ou companheiros(as) de sexo diferente com 20 anos de idade,Spouses or partners of different sex with 20 years of age,family_unit,,Age and Gender,2,9
V012,Cônjuges ou companheiros(as) de sexo diferente com 21 anos de idade,Spouses or partners of different sex with 21 years of age,family_unit,,Age and Gender,5,5
V013,Cônjuges ou companheiros(as) de sexo diferente com 22 anos de idade,Spouses or partners of different sex with 22 years of age,family_unit,,Age and Gender,2,3
V014,Cônjuges ou companheiros(as) de sexo diferente com 23 anos de idade,Spouses or partners of different sex with 23 years of age,family_unit,,Age and Gender,3,4
V015,Cônjuges ou companheiros(as) de sexo diferente com 24 anos de idade,Spouses or partners of different sex with 24 years of age,family_unit,,Age and Gender,2,5
V016,Cônjuges ou companheiros(as) de sexo diferente com 25 anos de idade,Spouses or partners of different sex with 25 years of age,family_unit,,Age and Gender,4,3
V017,Cônjuges ou companheiros(as) de sexo diferente com 26 anos de idade,Spouses or partners of different sex with 26 years of age,family_unit,,Age and Gender,4,7
V018,Cônjuges ou companheiros(as) de sexo diferente com 27 anos de idade,Spouses or partners of different sex with 27 years of age,family_unit,,Age and Gender,6,5
V019,Cônjuges ou companheiros(as) de sexo diferente com 28 anos de idade,Spouses or partners of different sex with 28 years of age,family_unit,,Age and Gender,9,10
V020,Cônjuges ou companheiros(as) de sexo diferente com 29 anos de idade,Spouses or partners of different sex with 29 years of age,family_unit,,Age and Gender,4,6
V021,Cônjuges ou companheiros(as) de sexo diferente com 30 anos de idade,Spouses or partners of different sex with 30 years of age,family_unit,,Age and Gender,8,9
