Nome da variável,Descrição da variável
Cod_setor,Código do setor censitário
Situação,Código de situação do setor censitário (ver planilha Basico_UF.xls)
V001,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça - branca"
V002,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – preta"
V003,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – amarela"
V004,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – parda"
V005,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo masculino e cor ou raça – indígena"
V006,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – branca"
V007,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – preta"
V008,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – amarela"
V009,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça – parda"
V010,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo masculino e cor ou raça - indígena"
V011,"Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – branca"
V012,"Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – preta"
V013,"Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – amarela"
V014,"Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça – parda"
V015,"Pessoas alfabetizadas de 15 a 19 anos de idade, do sexo masculino e cor ou raça - indígena"
V016,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – branca"
V017,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – preta"
V018,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – amarela"
V019,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça – parda"
V020,"Pessoas alfabetizadas de 15 a 17 anos de idade, do sexo masculino e cor ou raça - indígena"
V021,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – branca"
V022,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – preta"
V023,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – amarela"
V024,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – parda"
V025,"Pessoas alfabetizadas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça - indígena"
V026,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - branca"
V027,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - preta"
V028,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - amarela"
V029,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - parda"
V030,"Pessoas alfabetizadas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - indígena"
V031,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – branca"
V032,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – preta"
V033,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – amarela"
V034,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – parda"
V035,"Pessoas alfabetizadas de 25 a 29 anos de idade, do sexo masculino e cor ou raça - indígena"
V036,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – branca"
V037,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – preta"
V038,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – amarela"
V039,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – parda"
V040,"Pessoas alfabetizadas de 30 a 34 anos de idade, do sexo masculino e cor ou raça - indígena"
V041,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo masculino e cor ou raça - branca"
V042,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – preta"
V043,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – amarela"
V044,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – parda"
V045,"Pessoas alfabetizadas de 35 a 39 anos de idade, do sexo masculino e cor ou raça - indígena"
V046,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – branca"
V047,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – preta"
V048,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – amarela"
V049,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – parda"
V050,"Pessoas alfabetizadas de 40 a 44 anos de idade, do sexo masculino e cor ou raça - indígena"
V051,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – branca"
V052,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – preta"
V053,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – amarela"
V054,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – parda"
V055,"Pessoas alfabetizadas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – indígena"
V056,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – branca"
V057,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – preta"
V058,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – amarela"
V059,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – parda"
V060,"Pessoas alfabetizadas de 50 a 54 anos de idade, do sexo masculino e cor ou raça - indígena"
V061,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – branca"
V062,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – preta"
V063,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – amarela"
V064,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – parda"
V065,"Pessoas alfabetizadas de 55 a 59 anos de idade, do sexo masculino e cor ou raça - indígena"
V066,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – branca"
V067,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – preta"
V068,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – amarela"
V069,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – parda"
V070,"Pessoas alfabetizadas de 60 a 69 anos de idade, do sexo masculino e cor ou raça - indígena"
V071,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – branca"
V072,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – preta"
V073,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – amarela"
V074,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – parda"
V075,"Pessoas alfabetizadas de 70 anos ou mais de idade, do sexo masculino e cor ou raça - indígena"
V076,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - branca"
V077,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - preta"
V078,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - amarela"
V079,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - parda"
V080,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - indígena"
V081,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - branca"
V082,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - preta"
V083,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - amarela"
V084,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - parda"
V085,"Pessoas alfabetizadas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - indígena"
V086,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – branca"
V087,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – preta"
V088,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – amarela"
V089,"Pessoas alfabetizadas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – parda"
