NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor ,Código do setor,Industry code,,,,120001305000001,120001305000012
Situação do setor,Código de situação do setor,Sector status code,,,,1,1
V623,Moradores em domicílios particulares permanentes com moradia adequada – Existe identificação do logradouro,Residents in permanent private households with adequate housing - There is identification of the public place,people,Entorno03_V422,housing,27,5
V624,Moradores em domicílios particulares permanentes com moradia adequada – Não existe identificação do logradouro,Residents in permanent private dwellings with adequate housing - There is no identification of the place,people,Entorno03_V422,housing,5,10
V625,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe identificação do logradouro,Residents in permanent private households with semi-adequate housing - There is identification of the public place,people,Entorno03_V422,housing,577,519
V626,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe identificação do logradouro,Residents in permanent private households with semi-adequate housing - No street identification,people,Entorno03_V422,housing,343,338
V627,Moradores em domicílios particulares permanentes com moradia inadequada – Existe identificação do logradouro,Residents in permanent private households with inadequate housing - There is an identification of the place,people,Entorno03_V422,housing,5,14
V628,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe identificação do logradouro,Residents in permanent private households with inadequate housing - No street identification,people,Entorno03_V422,housing,0,12
V629,Moradores em domicílios particulares permanentes com moradia adequada – Existe iluminação pública,Residents in permanent private households with adequate housing - Public lighting,people,Entorno03_V422,housing,32,15
V630,Moradores em domicílios particulares permanentes com moradia adequada – Não existe iluminação pública,Residents in permanent private households with adequate housing - No public lighting,people,Entorno03_V422,housing,0,0
V631,Moradores em domicílios particulares permanentes com moradia semi-adequada – Existe iluminação pública,Residents in permanent private households with semi-adequate housing - Public lighting,people,Entorno03_V422,housing,920,835
V632,Moradores em domicílios particulares permanentes com moradia semi-adequada – Não existe iluminação pública,Residents in permanent private households with semi-adequate housing - No public lighting,people,Entorno03_V422,housing,0,22
V633,Moradores em domicílios particulares permanentes com moradia inadequada – Existe iluminação pública,Residents in permanent private households with inadequate housing - Public lighting,people,Entorno03_V422,housing,5,0
V634,Moradores em domicílios particulares permanentes com moradia inadequada – Não existe iluminação pública,Residents in permanent private households with inadequate housing - No public lighting,people,Entorno03_V422,housing,0,26
V635,Moradores em domicílios particulares permanentes com moradia adequada – Existe pavimentação,Residents in permanent private households with adequate housing - Paving exists,people,Entorno03_V422,housing,32,3
V636,Moradores em domicílios particulares permanentes com moradia adequada – Não existe pavimentação,Residents in permanent private dwellings with adequate housing - There is no flooring,people,Entorno03_V422,housing,0,12
