Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situação,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V001,Pessoas Residentes,Resident People,people,Pessoa13_V001,race_ethnicity,957,914
V002,Pessoas Residentes e cor ou raça - branca,People Residents and color or race - white,people,Pessoa03_V001,race_ethnicity,337,360
V003,Pessoas Residentes e cor ou raça - preta,Resident People and color or race - black,people,Pessoa03_V001,race_ethnicity,27,46
V004,Pessoas Residentes e cor ou raça - amarela,People Residents and color or race - yellow,people,Pessoa03_V001,race_ethnicity,14,9
V005,Pessoas Residentes e cor ou raça - parda,People Residents and color or race - brown,people,Pessoa03_V001,race_ethnicity,579,499
V006,Pessoas Residentes e cor ou raça - indígena,People Residents and color or race - indigenous,people,Pessoa03_V001,race_ethnicity,0,0
V007,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - branca,Residents 0 to 4 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,41,58
V008,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - preta,Residents 0 to 4 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,0,1
V009,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - amarela,People Residents 0 to 4 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,0,0
V010,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - parda,People Residents 0 to 4 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,30,49
V011,Pessoas Residentes de 0 a 4 anos de idade e cor ou raça - indígena,Residents 0 to 4 years of age and color or race - indigenous,people,Pessoa03_V006,race_ethnicity,0,0
V012,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - branca,People Residents 5 to 9 years of age and color or race - white,people,Pessoa03_V002,race_ethnicity,31,40
V013,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - preta,Residents 5 to 9 years of age and color or race - black,people,Pessoa03_V003,race_ethnicity,0,3
V014,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - amarela,Residents 5 to 9 years of age and color or race - yellow,people,Pessoa03_V004,race_ethnicity,1,1
V015,Pessoas Residentes de 5 a 9 anos de idade e cor ou raça - parda,Residents 5 to 9 years of age and color or race - brown,people,Pessoa03_V005,race_ethnicity,60,62
