Nome da variável,Descrição da variável
Cod_setor,Código do setor censitário
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls)
V001,Filhos(as) do responsável e do cônjuge com menos de 1 ano de idade
V002,Filhos(as) do responsável e do cônjuge com 1 ano de idade
V003,Filhos(as) do responsável e do cônjuge com 2 anos de idade
V004,Filhos(as) do responsável e do cônjuge com 3 anos de idade
V005,Filhos(as) do responsável e do cônjuge com 4 anos de idade
V006,Filhos(as) do responsável e do cônjuge com 5 anos de idade
V007,Filhos(as) do responsável e do cônjuge com 6 anos de idade
V008,Filhos(as) do responsável e do cônjuge com 7 anos de idade
V009,Filhos(as) do responsável e do cônjuge com 8 anos de idade
V010,Filhos(as) do responsável e do cônjuge com 9 anos de idade
V011,Filhos(as) do responsável e do cônjuge com 10 anos de idade
V012,Filhos(as) do responsável e do cônjuge com 11 anos de idade
V013,Filhos(as) do responsável e do cônjuge com 12 anos de idade
V014,Filhos(as) do responsável e do cônjuge com 13 anos de idade
V015,Filhos(as) do responsável e do cônjuge com 14 anos de idade
V016,Filhos(as) do responsável e do cônjuge com 15 anos de idade
V017,Filhos(as) do responsável e do cônjuge com 16 anos de idade
V018,Filhos(as) do responsável e do cônjuge com 17 anos de idade
V019,Filhos(as) do responsável e do cônjuge com 18 anos de idade
V020,Filhos(as) do responsável e do cônjuge com 19 anos de idade
V021,Filhos(as) do responsável e do cônjuge com 20 anos de idade
V022,Filhos(as) do responsável e do cônjuge com 21 anos de idade
V023,Filhos(as) do responsável e do cônjuge com 22 anos de idade
V024,Filhos(as) do responsável e do cônjuge com 23 anos de idade
V025,Filhos(as) do responsável e do cônjuge com 24 anos de idade
V026,Filhos(as) do responsável e do cônjuge com 25 anos de idade
V027,Filhos(as) do responsável e do cônjuge com 26 anos de idade
V028,Filhos(as) do responsável e do cônjuge com 27 anos de idade
V029,Filhos(as) do responsável e do cônjuge com 28 anos de idade
V030,Filhos(as) do responsável e do cônjuge com 29 anos de idade
V031,Filhos(as) do responsável e do cônjuge com 30 anos de idade
V032,Filhos(as) do responsável e do cônjuge com 31 anos de idade
V033,Filhos(as) do responsável e do cônjuge com 32 anos de idade
V034,Filhos(as) do responsável e do cônjuge com 33 anos de idade
V035,Filhos(as) do responsável e do cônjuge com 34 anos de idade
V036,Filhos(as) do responsável e do cônjuge com 35 anos de idade
V037,Filhos(as) do responsável e do cônjuge com 36 anos de idade
V038,Filhos(as) do responsável e do cônjuge com 37 anos de idade
V039,Filhos(as) do responsável e do cônjuge com 38 anos de idade
V040,Filhos(as) do responsável e do cônjuge com 39 anos de idade
V041,Filhos(as) do responsável e do cônjuge com 40 anos de idade
V042,Filhos(as) do responsável e do cônjuge com 41 anos de idade
V043,Filhos(as) do responsável e do cônjuge com 42 anos de idade
V044,Filhos(as) do responsável e do cônjuge com 43 anos de idade
V045,Filhos(as) do responsável e do cônjuge com 44 anos de idade
V046,Filhos(as) do responsável e do cônjuge com 45 anos de idade
V047,Filhos(as) do responsável e do cônjuge com 46 anos de idade
V048,Filhos(as) do responsável e do cônjuge com 47 anos de idade
V049,Filhos(as) do responsável e do cônjuge com 48 anos de idade
V050,Filhos(as) do responsável e do cônjuge com 49 anos de idade
V051,Filhos(as) do responsável e do cônjuge com 50 anos ou mais de idade
V052,Filhos(as) somente do responsável com menos de 1 ano de idade
V053,Filhos(as) somente do responsável com 1 ano de idade
V054,Filhos(as) somente do responsável com 2 anos de idade
V055,Filhos(as) somente do responsável com 3 anos de idade
V056,Filhos(as) somente do responsável com 4 anos de idade
V057,Filhos(as) somente do responsável com 5 anos de idade
V058,Filhos(as) somente do responsável com 6 anos de idade
V059,Filhos(as) somente do responsável com 7 anos de idade
V060,Filhos(as) somente do responsável com 8 anos de idade
V061,Filhos(as) somente do responsável com 9 anos de idade
V062,Filhos(as) somente do responsável com 10 anos de idade
V063,Filhos(as) somente do responsável com 11 anos de idade
V064,Filhos(as) somente do responsável com 12 anos de idade
V065,Filhos(as) somente do responsável com 13 anos de idade
V066,Filhos(as) somente do responsável com 14 anos de idade
V067,Filhos(as) somente do responsável com 15 anos de idade
V068,Filhos(as) somente do responsável com 16 anos de idade
V069,Filhos(as) somente do responsável com 17 anos de idade
V070,Filhos(as) somente do responsável com 18 anos de idade
V071,Filhos(as) somente do responsável com 19 anos de idade
V072,Filhos(as) somente do responsável com 20 anos de idade
V073,Filhos(as) somente do responsável com 21 anos de idade
V074,Filhos(as) somente do responsável com 22 anos de idade
V075,Filhos(as) somente do responsável com 23 anos de idade
V076,Filhos(as) somente do responsável com 24 anos de idade
V077,Filhos(as) somente do responsável com 25 anos de idade
V078,Filhos(as) somente do responsável com 26 anos de idade
V079,Filhos(as) somente do responsável com 27 anos de idade
V080,Filhos(as) somente do responsável com 28 anos de idade
V081,Filhos(as) somente do responsável com 29 anos de idade
V082,Filhos(as) somente do responsável com 30 anos de idade
V083,Filhos(as) somente do responsável com 31 anos de idade
V084,Filhos(as) somente do responsável com 32 anos de idade
V085,Filhos(as) somente do responsável com 33 anos de idade
V086,Filhos(as) somente do responsável com 34 anos de idade
V087,Filhos(as) somente do responsável com 35 anos de idade
V088,Filhos(as) somente do responsável com 36 anos de idade
V089,Filhos(as) somente do responsável com 37 anos de idade
V090,Filhos(as) somente do responsável com 38 anos de idade
V091,Filhos(as) somente do responsável com 39 anos de idade
V092,Filhos(as) somente do responsável com 40 anos de idade
V093,Filhos(as) somente do responsável com 41 anos de idade
V094,Filhos(as) somente do responsável com 42 anos de idade
V095,Filhos(as) somente do responsável com 43 anos de idade
V096,Filhos(as) somente do responsável com 44 anos de idade
V097,Filhos(as) somente do responsável com 45 anos de idade
V098,Filhos(as) somente do responsável com 46 anos de idade
V099,Filhos(as) somente do responsável com 47 anos de idade
V100,Filhos(as) somente do responsável com 48 anos de idade
V101,Filhos(as) somente do responsável com 49 anos de idade
V102,Filhos(as) somente do responsável com 50 anos ou mais de idade
V103,Enteados(as) com menos de 1 ano de idade
V104,Enteados(as) com 1 ano de idade
V105,Enteados(as) com 2 anos de idade
V106,Enteados(as) com 3 anos de idade
V107,Enteados(as) com 4 anos de idade
V108,Enteados(as) com 5 anos de idade
V109,Enteados(as) com 6 anos de idade
V110,Enteados(as) com 7 anos de idade
V111,Enteados(as) com 8 anos de idade
V112,Enteados(as) com 9 anos de idade
V113,Enteados(as) com 10 anos de idade
V114,Enteados(as) com 11 anos de idade
V115,Enteados(as) com 12 anos de idade
V116,Enteados(as) com 13 anos de idade
V117,Enteados(as) com 14 anos de idade
V118,Enteados(as) com 15 anos de idade
V119,Enteados(as) com 16 anos de idade
V120,Enteados(as) com 17 anos de idade
V121,Enteados(as) com 18 anos de idade
V122,Enteados(as) com 19 anos de idade
V123,Enteados(as) com 20 anos de idade
V124,Enteados(as) com 21 anos de idade
V125,Enteados(as) com 22 anos de idade
V126,Enteados(as) com 23 anos de idade
V127,Enteados(as) com 24 anos de idade
V128,Enteados(as) com 25 anos de idade
V129,Enteados(as) com 26 anos de idade
V130,Enteados(as) com 27 anos de idade
V131,Enteados(as) com 28 anos de idade
V132,Enteados(as) com 29 anos de idade
V133,Enteados(as) com 30 anos de idade
V134,Enteados(as) com 31 anos de idade
V135,Enteados(as) com 32 anos de idade
V136,Enteados(as) com 33 anos de idade
V137,Enteados(as) com 34 anos de idade
V138,Enteados(as) com 35 anos de idade
V139,Enteados(as) com 36 anos de idade
V140,Enteados(as) com 37 anos de idade
V141,Enteados(as) com 38 anos de idade
V142,Enteados(as) com 39 anos de idade
V143,Enteados(as) com 40 anos de idade
V144,Enteados(as) com 41 anos de idade
V145,Enteados(as) com 42 anos de idade
V146,Enteados(as) com 43 anos de idade
V147,Enteados(as) com 44 anos de idade
V148,Enteados(as) com 45 anos de idade
V149,Enteados(as) com 46 anos de idade
V150,Enteados(as) com 47 anos de idade
V151,Enteados(as) com 48 anos de idade
V152,Enteados(as) com 49 anos de idade
V153,Enteados(as) com 50 ou mais anos de idade
V154,Filhos do responsável e do cônjuge com menos de 1 ano de idade
V155,Filhos do responsável e do cônjuge com 1 ano de idade
V156,Filhos do responsável e do cônjuge com 2 anos de idade
V157,Filhos do responsável e do cônjuge com 3 anos de idade
V158,Filhos do responsável e do cônjuge com 4 anos de idade
V159,Filhos do responsável e do cônjuge com 5 anos de idade
V160,Filhos do responsável e do cônjuge com 6 anos de idade
V161,Filhos do responsável e do cônjuge com 7 anos de idade
V162,Filhos do responsável e do cônjuge com 8 anos de idade
V163,Filhos do responsável e do cônjuge com 9 anos de idade
V164,Filhos do responsável e do cônjuge com 10 anos de idade
V165,Filhos do responsável e do cônjuge com 11 anos de idade
V166,Filhos do responsável e do cônjuge com 12 anos de idade
V167,Filhos do responsável e do cônjuge com 13 anos de idade
V168,Filhos do responsável e do cônjuge com 14 anos de idade
V169,Filhos do responsável e do cônjuge com 15 anos de idade
V170,Filhos do responsável e do cônjuge com 16 anos de idade
V171,Filhos do responsável e do cônjuge com 17 anos de idade
V172,Filhos do responsável e do cônjuge com 18 anos de idade
V173,Filhos do responsável e do cônjuge com 19 anos de idade
V174,Filhos do responsável e do cônjuge com 20 anos de idade
V175,Filhos do responsável e do cônjuge com 21 anos de idade
V176,Filhos do responsável e do cônjuge com 22 anos de idade
V177,Filhos do responsável e do cônjuge com 23 anos de idade
V178,Filhos do responsável e do cônjuge com 24 anos de idade
V179,Filhos do responsável e do cônjuge com 25 anos de idade
V180,Filhos do responsável e do cônjuge com 26 anos de idade
V181,Filhos do responsável e do cônjuge com 27 anos de idade
V182,Filhos do responsável e do cônjuge com 28 anos de idade
V183,Filhos do responsável e do cônjuge com 29 anos de idade
V184,Filhos do responsável e do cônjuge com 30 anos de idade
V185,Filhos do responsável e do cônjuge com 31 anos de idade
V186,Filhos do responsável e do cônjuge com 32 anos de idade
V187,Filhos do responsável e do cônjuge com 33 anos de idade
V188,Filhos do responsável e do cônjuge com 34 anos de idade
V189,Filhos do responsável e do cônjuge com 35 anos de idade
V190,Filhos do responsável e do cônjuge com 36 anos de idade
V191,Filhos do responsável e do cônjuge com 37 anos de idade
V192,Filhos do responsável e do cônjuge com 38 anos de idade
V193,Filhos do responsável e do cônjuge com 39 anos de idade
V194,Filhos do responsável e do cônjuge com 40 anos de idade
V195,Filhos do responsável e do cônjuge com 41 anos de idade
V196,Filhos do responsável e do cônjuge com 42 anos de idade
V197,Filhos do responsável e do cônjuge com 43 anos de idade
V198,Filhos do responsável e do cônjuge com 44 anos de idade
V199,Filhos do responsável e do cônjuge com 45 anos de idade
V200,Filhos do responsável e do cônjuge com 46 anos de idade
V201,Filhos do responsável e do cônjuge com 47 anos de idade
V202,Filhos do responsável e do cônjuge com 48 anos de idade
V203,Filhos do responsável e do cônjuge com 49 anos de idade
V204,Filhos do responsável e do cônjuge com 50 anos ou mais de idade
