NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor ,Código do setor,Industry code,,,,120001305000001,120001305000012
Situação do setor,Código de situação do setor,Sector status code,,,,1,1
V422,Moradores em domicílios particulares permanentes,Residents in permanent private households,people,,housing,957,914
V423,Moradores em domicílios particulares permanentes próprios – Existe identificação do logradouro,Residents in their own permanent private homes - There is an identification of the public place,people,Entorno03_V422,housing,458,393
V424,Moradores em domicílios particulares permanentes próprios – Não existe identificação do logradouro,Residents in their own permanent private homes - No street identification,people,Entorno03_V422,housing,283,282
V425,Moradores em domicílios particulares permanentes alugados – Existe identificação do logradouro,Residents in permanent private households rented - There is identification of the place,people,Entorno03_V422,housing,93,85
V426,Moradores em domicílios particulares permanentes alugados – Não existe identificação do logradouro,Residents in permanent private households rented - There is no identification of the public place,people,Entorno03_V422,housing,54,50
V427,Moradores em domicílios particulares permanentes cedidos – Existe identificação do logradouro,Residents in permanent private homes assigned - There is an identification of the place,people,Entorno03_V422,housing,58,60
V428,Moradores em domicílios particulares permanentes cedidos – Não existe identificação do logradouro,Residents in permanent private households assigned - No street identification,people,Entorno03_V422,housing,11,28
V429,Moradores em domicílios particulares permanentes próprios – Existe iluminação pública,Residents in their own permanent private homes - Public lighting,people,Entorno03_V422,housing,741,635
V430,Moradores em domicílios particulares permanentes próprios – Não existe iluminação pública,Residents in their own permanent private homes - No public lighting,people,Entorno03_V422,housing,0,40
V431,Moradores em domicílios particulares permanentes alugados – Existe iluminação pública,Residents in permanent private households rented - Public lighting,people,Entorno03_V422,housing,147,135
V432,Moradores em domicílios particulares permanentes alugados – Não existe iluminação pública,Residents in permanent private households rented - No public lighting,people,Entorno03_V422,housing,0,0
V433,Moradores em domicílios particulares permanentes cedidos – Existe iluminação pública,Residents in permanent private homes ceded - There is public lighting,people,Entorno03_V422,housing,69,80
V434,Moradores em domicílios particulares permanentes cedidos – Não existe iluminação pública,Residents in permanent private homes assigned - No public lighting,people,Entorno03_V422,housing,0,8
V435,Moradores em domicílios particulares permanentes próprios – Existe pavimentação,Residents in their own permanent private homes - Paving exists,people,Entorno03_V422,housing,708,226
V436,Moradores em domicílios particulares permanentes próprios – Não existe pavimentação,Residents in their own permanent private homes - There is no flooring,people,Entorno03_V422,housing,33,449
V437,Moradores em domicílios particulares permanentes alugados – Existe pavimentação,Residents in permanent private households rented - Paving exists,people,Entorno03_V422,housing,135,58
