age_gender,demo_r_pjangrp3,3,people
age_gender,demo_r_births,3,people
age_gender,demo_r_fagec3,3,people
age_gender,demo_r_magec3,3,people
age_gender,demo_r_pjanaggr3,3,people
age_gender,demo_r_deaths,3,people
age_gender,demo_r_d2jan,2,people
age_gender,demo_r_magec,2,people
age_gender,demo_r_pjangroup,2,people
commerce_economy,nama_10r_3gdp,3,money
commerce_economy,nama_10r_3popgdp,3,people
commerce_economy,nama_10r_3empers,3,people
commerce_economy,nama_10r_3gva,3,money
education,educ_renrlrg3,2,people
education,educ_renrlrg1,2,people
education,tgs00091,2,ratio
education,tgs00092,2,ratio
education,tgs00093,2,ratio
education,tgs00094,2,ratio
education,tgs00109,2,ratio
education,tgs00095,2,ratio
income,tgs00026,2,money
income,tgs00036,2,money
transportation,road_go_na_rl3g,3,tonnes
transportation,road_go_na_ru3g,3,tonnes
commerce_economy,bd_enace2_r3,3,businesses
commerce_economy,bd_size_r3,3,businesses
commerce_economy,bd_enace2_r3,3,businesses
commerce_economy,bd_esize_r3,3,businesses
employment,lfst_r_lfsd2pop,2,people
employment,lfst_r_lfp2act,2,people
employment,lfst_r_lfp2actrt,2,ratio
employment,lfst_r_lfp2acedu,2,people
employment,lfst_r_lfe2emp,2,people
employment,lfst_r_lfe2en2,2,people
employment,lfst_r_lfe2estat,2,people
employment,lfst_r_lfe2eftpt,2,people
employment,lfst_r_lfe2eedu,2,people
employment,lfst_r_lfe2ecomm,2,people
employment,lfst_r_lfe2emprt,2,ratio
employment,lfst_r_lfe2ehour,2,hours
employment,lfst_r_lfu3pers,2,people
employment,lfst_r_lfu3rt,2,ratio
employment,lfst_r_lfu2ltu,2,people
health,crim_gen_reg,3,crimes
transportation,tgs00075,2,people
transportation,tgs000762,2,tonnes
transportation,tgs00077,2,people
transportation,tgs00078,2,tonnes
income,ilc_li41,2,ratio
income,ilc_li41,2,ratio
employment,ilc_lvhl21,2,people
income,ilc_peps11,2,people
energy,env_rpep,2,tonnes
transportation,env_rtr,2,kilometres
commerce_economy,tgs00111,2,nights
commerce_economy,tgs00112,2,businesses
health,tgs00058,2,people
health,tgs00059,2,people
health,tgs00060,2,people
health,tgs00061,2,people
health,tgs00062,2,people
health,tgs00063,2,people
health,tgs00064,2,beds
employment,tgs00039,2,ratio
commerce_economy,tgs00042,2,ratio
